address	old_name	new_name	confidence	reason	clues
0x00416280	CBomberGuide__Helper_00416280	CBomberGuide__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove; CMonitor__Shutdown
0x004309e0	CExplosionStatement__Helper_004309e0	CExplosionStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__AddToTail
0x00430e60	CComponentStatement__Helper_00430e60	CComponentStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__Init; CONCAT31; CUnitAI__InitDefaults; CSPtrSet__AddToTail
0x00431350	CFeatureStatement__Helper_00431350	CFeatureStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__AddToTail
0x004317a0	CHazardStatement__Helper_004317a0	CHazardStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__AddToTail
0x0043aea0	CExplosionBasedOn__Helper_0043aea0	CExplosionBasedOn__ReallocateObjectSlot	high	pattern:Free+Alloc	OID__FreeObject; OID__AllocObject
0x0043af10	CExplosionBasedOn__Helper_0043af10	CExplosionBasedOn__ReallocateObjectSlot_0043af10	high	pattern:Free+Alloc	OID__FreeObject; OID__AllocObject
0x004419e0	FrontendUpdate_CheatChecks__Helper_004419e0	FrontendUpdate_CheatChecks__RenderCheatStatusText	high	pattern:AsciiToWide+DrawText	Text__AsciiToWideScratch; CPlatform__Font; CDXFont__DrawText
0x00445460	CDiveBomberGuide__Helper_00445460	CDiveBomberGuide__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove; CMonitor__Shutdown
0x00505f90	CWeapon__Helper_00505f90	CWeapon__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove; CDXLandscape__DestroyArrayWithCallback; CMonitor__Shutdown
0x00423650	PCPlatform__Helper_00423650	PCPlatform__ReadPerformanceFrequency	mid	clue:QueryPerformanceFrequency	QueryPerformanceFrequency
0x00441e50	CGame__Helper_00441e50	CGame__FreeObjectIfPresent	mid	pattern:OID__FreeObject	OID__FreeObject
0x00452db0	CFEPGoodies__Helper_00452db0	CFEPGoodies__OpenVideo	mid	clue:CDXFrontEndVideo__Open	CDXFrontEndVideo__Open
0x00452de0	CFEPGoodies__Helper_00452de0	CFEPGoodies__CloseVideo	mid	clue:CDXFrontEndVideo__CloseVideo	CDXFrontEndVideo__CloseVideo
0x00464b30	CFEPLoadGame__Helper_00464b30	CFEPLoadGame__ResolveTextByToken	mid	clue:CFEPSaveGame__GetLocalizedOrFallbackTextByToken	CFEPSaveGame__GetLocalizedOrFallbackTextByToken; CRT__WStrCpy; CPlatform__Font; CFEPSaveGame__InitDialogAndLayoutState
0x00469430	CFEPDirectory__Helper_00469430	CFEPDirectory__CheckMouseInputReady	mid	clue:CFrontEnd__IsMouseInputReady	CFrontEnd__IsMouseInputReady; Input__GetCursorStateInRectAndConsume
0x0047d6d0	CGroundVehicleGuide__Helper_0047d6d0	CGroundVehicleGuide__FreeObjectIfPresent	mid	pattern:OID__FreeObject	OID__FreeObject; CMonitor__Shutdown
0x0048afb0	CInfluenceMap__Helper_0048afb0	CInfluenceMap__FreeObjectIfPresent	mid	pattern:OID__FreeObject	CSPtrSet__Remove; OID__FreeObject
0x0048ddd0	CParticleSet__Helper_0048ddd0	CParticleSet__OpenRead	mid	clue:DXMemBuffer__OpenRead	DXMemBuffer__OpenRead
0x0048de00	CTokenArchive__Helper_0048de00	CTokenArchive__ReadLine	mid	clue:DXMemBuffer__ReadLine	DXMemBuffer__ReadLine
0x0048f1e0	CDXPatchManager__Helper_0048f1e0	CDXPatchManager__Create	mid	clue:CVBuffer__Create	CVBuffer__Create
0x004b6260	CSphere__Helper_004b6260	CSphere__RenderAnimatedRecursive	mid	clue:CMeshPart__RenderAnimatedRecursive	CMeshPart__RenderAnimatedRecursive; CMeshPart__RefreshCachedPoseIfStale; CONCAT31
0x004bfe10	CRocket__Helper_004bfe10	CRocket__DestroyArrayWithCallback	mid	clue:CDXLandscape__DestroyArrayWithCallback	CDXLandscape__DestroyArrayWithCallback; CActor__ctor_like_004013d0
0x004dab50	CRound__Helper_004dab50	CRound__RemoveActiveReaderById	mid	clue:CMonitor__RemoveActiveReaderById	CMonitor__RemoveActiveReaderById; CSPtrSet__Remove; CGenericActiveReader__SetReader
0x004e1200	CMessageBox__Helper_004e1200	CMessageBox__StopAndReleaseChannel	mid	clue:CSoundManager__StopAndReleaseChannel	CSoundManager__StopAndReleaseChannel; CGenericActiveReader__SetReader
0x004e6640	CThing__Helper_004e6640	CThing__CreateThingRefWithSquad	mid	clue:IScript__CreateThingRefWithSquad	IScript__CreateThingRefWithSquad
0x004f0c50	CMCTentacle__Helper_004f0c50	CMCTentacle__BuildOrientationMatrixFromEuler	mid	clue:CSquadNormal__BuildOrientationMatrixFromEuler	CSquadNormal__BuildOrientationMatrixFromEuler; CMCBuggy__Helper_0040d320
0x004f7440	CMissionScriptObjectCode__Helper_004f7440	CMissionScriptObjectCode__FreeObjectIfPresent	mid	pattern:OID__FreeObject	OID__FreeObject
0x004f9a40	CSphere__Helper_004f9a40	CSphere__GetRootSubtreeHealthIfAnyActive	mid	clue:CDestructableSegmentsController__GetRootSubtreeHealthIfAnyActive	CDestructableSegmentsController__GetRootSubtreeHealthIfAnyActive
0x004fb650	CWarspite__Helper_004fb650	CWarspite__UpdateAimTransformAndAttachTargetReader	mid	clue:OID__UpdateAimTransformAndAttachTargetReader	OID__UpdateAimTransformAndAttachTargetReader
0x004fd4d0	CCannon__Helper_004fd4d0	CCannon__SelectTarget	mid	clue:CDiveBomber__SelectTarget	CDiveBomber__SelectTarget; CUnitAI__GetWorldPositionForTargeting
0x00501320	CScreenFx__Helper_00501320	CScreenFx__FindTexture	mid	clue:CTexture__FindTexture	CTexture__FindTexture; CHud__Helper_004f27e0; CVBufTexture__GetOrCreate
0x00511db0	CWorldPhysicsManager__Helper_00511db0	CWorldPhysicsManager__FindSoundEventByNameIfEnabled	mid	clue:CBattleEngine__FindSoundEventByNameIfEnabled	CBattleEngine__FindSoundEventByNameIfEnabled
0x00521260	CFEPVirtualKeyboard__Helper_00521260	CFEPVirtualKeyboard__DrawPanel	mid	clue:CFrontEnd__DrawPanel	CFrontEnd__DrawPanel; CFrontEnd__DrawBox; CPlatform__Font; CDXFont__GetTextExtent; CDXFont__DrawTextDynamic; PLATFORM__GetSysTimeFloat
0x0053bda0	CHud__Helper_0053bda0	CHud__FreeObjectIfPresent	mid	pattern:OID__FreeObject	CByteSprite__Free; OID__FreeObject
0x00540840	PCPlatform__Helper_00540840	PCPlatform__ReadHeaderPairAndResetByteCount	mid	clue:CMeshPart__ReadHeaderPairAndResetByteCount	CMeshPart__ReadHeaderPairAndResetByteCount; CDXTexture__Deserialize; D3DBufferRegistry__MoveToFreeList; CMeshPart__ReadBlockAndAccumulateByteCount; CVBufTexture__GetOrCreate; CVBufTexture__SetVBFormat
0x005491b0	CPolyBucket__Helper_005491b0	CPolyBucket__ReallocFromPool	mid	clue:CMemoryManager__ReallocFromPool	CMemoryManager__ReallocFromPool; CMemoryManager__Realloc
