target_addr	target_name	from_addr	from_function	ref_type
00414cb0	CExplosionInitThing__Unk_00414cb0	00488071	CDXEngine__Helper_00487d10	UNCONDITIONAL_CALL
00444620	CExplosionInitThing__Unk_00444620	005343b7	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00471798	FrontendUpdate_CheatChecks	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f7ff2	CActor__ctor_like_004f7e90	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f8026	CActor__ctor_like_004f7e90	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f89c5	CUnit__Init	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004f8cb0	CUnit__Init	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004093cb	CMonitor__Unk_004081c0	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004112e9	OID_Unk_005078f0__Wrapper_00410c50	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00536ee5	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004060d8	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004061ad	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004061e1	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00415361	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	0041921b	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004193c6	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	0041956b	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	00419736	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004df20f	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004fe4b0	<no_function>	UNCONDITIONAL_CALL
0044adb0	CExplosionInitThing__Unk_0044adb0	004fe4d0	<no_function>	UNCONDITIONAL_CALL
0046baf0	CExplosionInitThing__Unk_0046baf0	00521c96	CFEPWingmen__Update	UNCONDITIONAL_CALL
0046baf0	CExplosionInitThing__Unk_0046baf0	00521ca2	CFEPWingmen__Update	UNCONDITIONAL_CALL
0046baf0	CExplosionInitThing__Unk_0046baf0	00521cae	CFEPWingmen__Update	UNCONDITIONAL_CALL
0046baf0	CExplosionInitThing__Unk_0046baf0	0051df5b	CFEPMultiplayerStart__Process	UNCONDITIONAL_CALL
0046baf0	CExplosionInitThing__Unk_0046baf0	0051df67	CFEPMultiplayerStart__Process	UNCONDITIONAL_CALL
00479db0	CExplosionInitThing__Unk_00479db0	0047a392	<no_function>	UNCONDITIONAL_CALL
0047a160	CExplosionInitThing__Unk_0047a160	005e0cc0	<no_function>	DATA
004804c0	CExplosionInitThing__Unk_004804c0	005e17d8	<no_function>	DATA
004879e0	CExplosionInitThing__Unk_004879e0	00487c57	CDXEngine__Helper_00487bc0	UNCONDITIONAL_CALL
0048ff90	CExplosionInitThing__Unk_0048ff90	00472c67	CDXEngine__Helper_00472b40	UNCONDITIONAL_CALL
0048ff90	CExplosionInitThing__Unk_0048ff90	004d0be8	CPauseMenu__Unk_004d0810	UNCONDITIONAL_CALL
004bc2e0	CExplosionInitThing__Unk_004bc2e0	004a0eab	CMechGuide__VFunc_03_004a0bc0	UNCONDITIONAL_CALL
004bc2e0	CExplosionInitThing__Unk_004bc2e0	0047d9c1	<no_function>	UNCONDITIONAL_CALL
004bc2e0	CExplosionInitThing__Unk_004bc2e0	0048a880	<no_function>	UNCONDITIONAL_CALL
004bc2e0	CExplosionInitThing__Unk_004bc2e0	004e7696	CSquadNormal__Unk_004e7110	UNCONDITIONAL_CALL
004bc510	CExplosionInitThing__Unk_004bc510	004be254	CExplosionInitThing__Unk_004be1d0	UNCONDITIONAL_CALL
004bc510	CExplosionInitThing__Unk_004bc510	004beed5	CExplosionInitThing__Unk_004beea0	UNCONDITIONAL_CALL
004bc510	CExplosionInitThing__Unk_004bc510	004bef43	CExplosionInitThing__Unk_004beea0	UNCONDITIONAL_CALL
004be1d0	CExplosionInitThing__Unk_004be1d0	004bc3c7	CExplosionInitThing__Unk_004bc2e0	UNCONDITIONAL_CALL
004bed30	CExplosionInitThing__Unk_004bed30	004be3d3	CExplosionInitThing__Unk_004be1d0	UNCONDITIONAL_CALL
004beea0	CExplosionInitThing__Unk_004beea0	004be40a	CExplosionInitThing__Unk_004be1d0	UNCONDITIONAL_CALL
004c7db0	CExplosionInitThing__Unk_004c7db0	004c8043	CPDSimpleSprite__VFunc_23_004c8040	UNCONDITIONAL_CALL
004c7db0	CExplosionInitThing__Unk_004c7db0	004c5d5e	CPDSimpleSprite__Helper_004c5d50	UNCONDITIONAL_CALL
004c7db0	CExplosionInitThing__Unk_004c7db0	004c900c	<no_function>	UNCONDITIONAL_CALL
004d1f90	CExplosionInitThing__Unk_004d1f90	004d229f	<no_function>	UNCONDITIONAL_CALL
