target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
004e0b30	CSoundManager__Unk_004e0b30	004b7e82	004b7d90	CGame__Helper_004b7d90	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	004e1a7f	004e1940	CMonitor__Helper_004e1940	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	004e0b05	004e0a90	CSoundManager__PlayNamedSample	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	004e00b2	<none>	<no_function>	UNCONDITIONAL_CALL
004e0b30	CSoundManager__Unk_004e0b30	0043f991	0043f690	CCutscene__Update	UNCONDITIONAL_CALL
004e0f70	CSoundManager__Unk_004e0f70	00517c31	00517ae0	CSoundManager__UpdateChannelParams	UNCONDITIONAL_CALL
004e0f70	CSoundManager__Unk_004e0f70	004dffe1	004dffc0	CSample__VFunc_00_004dffc0	UNCONDITIONAL_CALL
004e1040	CSoundManager__Unk_004e1040	004e1c15	004e1b20	CSoundManager__UpdateStatus	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	004f95db	004f95d0	VFuncSlot_02_004f95d0	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	004fd153	004fd140	CUnit__Helper_004fd140	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	0044cbe9	0044cbe0	CFeature__VFunc_02_0044cbe0	UNCONDITIONAL_CALL
004e1130	CSoundManager__Unk_004e1130	0047e6e9	0047e6e0	CHazard__VFunc_02_0047e6e0	UNCONDITIONAL_CALL
004e1190	CSoundManager__Unk_004e1190	004fb1eb	004fa8d0	CUnit__Unk_004fa8d0	UNCONDITIONAL_CALL
004e12b0	CSoundManager__Unk_004e12b0	0046e19f	0046dc30	CGame__RestartLoopRunLevel	UNCONDITIONAL_CALL
004e12b0	CSoundManager__Unk_004e12b0	0043f9b7	0043f690	CCutscene__Update	UNCONDITIONAL_CALL
004e1300	CSoundManager__Unk_004e1300	0046ec46	0046e910	CGame__Update	UNCONDITIONAL_CALL
004e1330	CSoundManager__Unk_004e1330	0046ec22	0046e910	CGame__Update	UNCONDITIONAL_CALL
004e1360	CSoundManager__Unk_004e1360	004e0d68	004e0bd0	CSoundManager__PlaySound	UNCONDITIONAL_CALL
004e1360	CSoundManager__Unk_004e1360	004e1c68	004e1b20	CSoundManager__UpdateStatus	UNCONDITIONAL_CALL
004e1360	CSoundManager__Unk_004e1360	00517909	00517790	CSoundManager__PlaySoundOnChannel	UNCONDITIONAL_CALL
004e18d0	CSoundManager__Unk_004e18d0	00408d22	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
004e2360	CSoundManager__Unk_004e2360	004e250f	<none>	<no_function>	UNCONDITIONAL_CALL
