target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
004aa410	CMesh__Unk_004aa410	004a8a3f	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
004aa410	CMesh__Unk_004aa410	004ab04a	004aab90	CMesh__Deserialize	UNCONDITIONAL_CALL
004aa5a0	CMesh__Unk_004aa5a0	004dc84b	004dc370	CRTMesh__Init	UNCONDITIONAL_CALL
004aa5e0	CMesh__Unk_004aa5e0	004dc06e	<none>	<no_function>	UNCONDITIONAL_CALL
004aa5e0	CMesh__Unk_004aa5e0	004dd247	<none>	<no_function>	UNCONDITIONAL_CALL
004aa5e0	CMesh__Unk_004aa5e0	004dd3d3	<none>	<no_function>	UNCONDITIONAL_CALL
004aa7e0	CMesh__Unk_004aa7e0	004dba01	<none>	<no_function>	UNCONDITIONAL_CALL
004aa7e0	CMesh__Unk_004aa7e0	004dbfd5	<none>	<no_function>	UNCONDITIONAL_CALL
004ac140	CMeshCollisionVolume__Unk_004ac140	004aca03	<none>	<no_function>	UNCONDITIONAL_CALL
004ac4a0	CMeshCollisionVolume__Unk_004ac4a0	004aca31	<none>	<no_function>	UNCONDITIONAL_CALL
004acf30	CMeshCollisionVolume__Unk_004acf30	004acd1b	<none>	<no_function>	UNCONDITIONAL_CALL
